event_id,basin,site,onset_utc,end_utc,peak_value,unit,threshold,threshold_def,source,class,confidence,notes
dikhow_glofas_q90_2016-07-03,dikhow,dikhow_sivasagar (GloFAS cell),2016-07-03,2016-07-04,627.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-07-22,dikhow,dikhow_sivasagar (GloFAS cell),2016-07-22,2016-07-25,591.9,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2016-08-05,dikhow,dikhow_sivasagar (GloFAS cell),2016-08-05,2016-08-09,600.2,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-07-04,dikhow,dikhow_sivasagar (GloFAS cell),2017-07-04,2017-07-10,619.9,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-07-24,dikhow,dikhow_sivasagar (GloFAS cell),2017-07-24,2017-07-28,684.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-08-06,dikhow,dikhow_sivasagar (GloFAS cell),2017-08-06,2017-08-07,543.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-08-10,dikhow,dikhow_sivasagar (GloFAS cell),2017-08-10,2017-08-15,876.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-08-18,dikhow,dikhow_sivasagar (GloFAS cell),2017-08-18,2017-08-18,513.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2017-09-12,dikhow,dikhow_sivasagar (GloFAS cell),2017-09-12,2017-09-12,531.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2018-06-13,dikhow,dikhow_sivasagar (GloFAS cell),2018-06-13,2018-06-14,590.6,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2018-07-30,dikhow,dikhow_sivasagar (GloFAS cell),2018-07-30,2018-08-03,930.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2018-08-13,dikhow,dikhow_sivasagar (GloFAS cell),2018-08-13,2018-08-13,525.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2018-08-31,dikhow,dikhow_sivasagar (GloFAS cell),2018-08-31,2018-09-01,566.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2019-07-08,dikhow,dikhow_sivasagar (GloFAS cell),2019-07-08,2019-07-13,690.8,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2019-07-15,dikhow,dikhow_sivasagar (GloFAS cell),2019-07-15,2019-07-15,551.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2019-07-25,dikhow,dikhow_sivasagar (GloFAS cell),2019-07-25,2019-07-26,537.3,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2019-07-28,dikhow,dikhow_sivasagar (GloFAS cell),2019-07-28,2019-07-28,513.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2020-05-27,dikhow,dikhow_sivasagar (GloFAS cell),2020-05-27,2020-05-28,884.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2020-07-11,dikhow,dikhow_sivasagar (GloFAS cell),2020-07-11,2020-07-11,509.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2020-09-25,dikhow,dikhow_sivasagar (GloFAS cell),2020-09-25,2020-09-25,553.6,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2021-06-22,dikhow,dikhow_sivasagar (GloFAS cell),2021-06-22,2021-06-23,577.1,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2021-08-19,dikhow,dikhow_sivasagar (GloFAS cell),2021-08-19,2021-08-20,635.8,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2022-06-15,dikhow,dikhow_sivasagar (GloFAS cell),2022-06-15,2022-06-20,773.5,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2023-08-02,dikhow,dikhow_sivasagar (GloFAS cell),2023-08-02,2023-08-03,553.6,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2023-08-08,dikhow,dikhow_sivasagar (GloFAS cell),2023-08-08,2023-08-09,565.2,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2023-08-27,dikhow,dikhow_sivasagar (GloFAS cell),2023-08-27,2023-08-27,533.6,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-06-30,dikhow,dikhow_sivasagar (GloFAS cell),2024-06-30,2024-07-08,894.4,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-07-10,dikhow,dikhow_sivasagar (GloFAS cell),2024-07-10,2024-07-10,529.9,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-07-15,dikhow,dikhow_sivasagar (GloFAS cell),2024-07-15,2024-07-16,536.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-07-22,dikhow,dikhow_sivasagar (GloFAS cell),2024-07-22,2024-07-31,678.2,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-08-02,dikhow,dikhow_sivasagar (GloFAS cell),2024-08-02,2024-08-02,523.8,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2024-08-08,dikhow,dikhow_sivasagar (GloFAS cell),2024-08-08,2024-08-13,661.2,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2025-05-31,dikhow,dikhow_sivasagar (GloFAS cell),2025-05-31,2025-06-03,956.2,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2025-07-06,dikhow,dikhow_sivasagar (GloFAS cell),2025-07-06,2025-07-06,541.0,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2025-09-17,dikhow,dikhow_sivasagar (GloFAS cell),2025-09-17,2025-09-18,575.8,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
dikhow_glofas_q90_2026-07-16,dikhow,dikhow_sivasagar (GloFAS cell),2026-07-16,2026-07-16,517.8,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
upper_assam_2026-07-19,dikhow,Sivasagar/Charaideo/Jorhat/Golaghat (multi-basin),2026-07-19,2026-07-22,,,,reported flood,"Project context + REPLAY-FINDINGS.md: cloudburst in Mon district, Nagaland on 19 July 2026 causing flooding in Sivasagar/Charaideo/Jorhat/Golaghat (date from reporting; no gauge data)",OBSERVED,medium,real disaster with loss of life; GloFAS cell peaked 766 m3/s on 2026-07-20
dikhow_glofas_q90_2026-07-20,dikhow,dikhow_sivasagar (GloFAS cell),2026-07-20,2026-07-21,766.4,m3/s,509.5,q90 of 2015-2025 monsoon GloFAS reanalysis,"GloFAS v4 reanalysis via Open-Meteo Flood API (MODELLED product, not observed river data) - q90 crossing of the 2015-2025 monsoon distribution",OBSERVED,medium,modelled series; daily resolution
cwc_nt_road_crossing_jia-bharali_2026-09-01T03,jiabharali_tezpur,CWC NT ROAD CROSSING JIA-BHARALI (JIABHARALI),2026-09-01T03:30Z,2026-09-01T12:30Z,77.82,m,77.5,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 78.5 m; hourly observed
cwc_nt_road_crossing_jia-bharali_2026-09-03T01,jiabharali_tezpur,CWC NT ROAD CROSSING JIA-BHARALI (JIABHARALI),2026-09-03T01:30Z,2026-09-03T02:30Z,77.69,m,77.5,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 78.5 m; hourly observed
cwc_matijuri_2026-09-02T03,katakhal_matijuri,CWC MATIJURI (KATAKHAL),2026-09-02T03:30Z,2026-09-04T03:30Z,20.66,m,19.27,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 20.27 m; hourly observed
cwc_numaligarh_2026-08-26T03,numaligarh,CWC NUMALIGARH (DHANSIRI (SOUTH)),2026-08-26T03:30Z,2026-08-28T05:30Z,78.46,m,77.42,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 78.42 m; hourly observed
cwc_ranganadi_nt_road_crossing_2026-09-02T03,ranganadi_ntxing,CWC RANGANADI NT ROAD CROSSING (RANGANADI),2026-09-02T03:30Z,2026-09-02T21:30Z,94.09,m,93.42,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 94.42 m; hourly observed
cwc_ranganadi_nt_road_crossing_2026-09-03T09,ranganadi_ntxing,CWC RANGANADI NT ROAD CROSSING (RANGANADI),2026-09-03T09:30Z,2026-09-03T16:30Z,93.6,m,93.42,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 94.42 m; hourly observed
cwc_ranganadi_nt_road_crossing_2026-09-04T02,ranganadi_ntxing,CWC RANGANADI NT ROAD CROSSING (RANGANADI),2026-09-04T02:30Z,2026-09-04T02:30Z,93.5,m,93.42,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 94.42 m; hourly observed
cwc_ranganadi_nt_road_crossing_2026-09-04T21,ranganadi_ntxing,CWC RANGANADI NT ROAD CROSSING (RANGANADI),2026-09-04T21:30Z,2026-09-05T02:30Z,93.65,m,93.42,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal - WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 94.42 m; hourly observed
cwc_golokganj_2026-09-03T01,sankosh_golokganj,CWC GOLOKGANJ (SANKOSH),2026-09-03T01:30Z,2026-09-04T05:30Z,29.42,m,28.94,CWC official WARNING level,Central Water Commission Advisory Flood Forecast public dissemination portal — WIMS observed hourly level crossing the official WARNING level,OBSERVED,high,danger level 29.94 m; hourly observed
